año,mes,taxi,viajes_totales,distancia_prom,distancia_total,tarifa_prom,tarifa_total
2019,1,green,672105,3.81,2558301.94,17.97,12079735.89
2019,1,yellow,7696617,2.83,21782551.11,15.81,121688527.92
2019,2,yellow,7049370,2.92,20565396.47,18.69,131747431.35
2019,2,green,615594,3.9,2400479.4,18.78,11561783.92
2019,3,green,643063,3.85,2477283.29,18.54,11920005.82
2019,3,yellow,7866620,3.02,23782299.77,19.31,151913058.03
2019,4,green,567852,3.52,1998248.86,18.38,10436122.94
2019,4,yellow,7475949,3.04,22726277.61,19.4,145047454.13
2019,5,green,545452,3.37,1839141.71,18.13,9888627.37
2019,5,yellow,7598445,3.06,23285139.46,19.66,149392686.28
2019,6,green,506238,3.35,1696378.5,17.5,8857056.23
2019,6,yellow,6971560,3.11,21684454.17,19.84,138321045.85
2019,7,yellow,6310419,3.11,19626235.15,19.61,123761823.33
2019,7,green,470743,3.32,1563070.18,17.42,8199141.41
2019,8,green,449695,3.48,1566423.54,18.18,8177105.95
2019,8,yellow,6073357,3.16,19208045.77,19.68,119517716.51
2019,9,yellow,6567788,3.09,20274590.81,19.92,130819692.16
2019,9,green,449063,3.52,1580697.81,18.62,8363624.28
2019,10,yellow,7213891,3.02,21762326.02,19.75,142487873.11
2019,10,green,476386,3.54,1688128.25,18.99,9044708.19
2019,11,yellow,6878111,2.93,20144796.55,19.41,133485953.16
2019,11,green,449500,2.89,1300109.95,18.71,8409174.15
2019,12,yellow,6896317,2.97,20505652.88,19.64,135455036.81
2019,12,green,455294,3.48,1583299.0,18.77,8547589.69
